steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31,trial_32
0.0,54.51209259033203,89.86557006835938,49.20021057128906,62.82295989990234,43.74029541015625,44.750450134277344,54.2596549987793,62.52570343017578,54.75791931152344,58.488868713378906,67.40931701660156,40.04960632324219,31.277362823486328,45.42000198364258,48.891868591308594,41.96052169799805,104.7262725830078,46.00908660888672,51.66365814208984,50.01884078979492,75.20072937011719,94.89289093017578,52.11368179321289,45.66725158691406,145.58721923828125,50.359596252441406,49.97771835327149,46.97532653808594,38.97124481201172,46.361305236816406,68.55517578125,45.9240837097168,69.9351806640625
2631578.947368421,62.68007639531366,139.79671711943158,52.51135866059161,68.91515725498137,44.70621601397229,46.84507451544921,54.977477084411895,67.40566206298294,59.60945341168514,60.69810316356679,68.29849246379577,45.02615212795642,33.00249661611512,46.56331472919217,50.85862691793333,44.99900214222371,137.43112151258708,46.46850695920247,61.49564147224635,51.758574682145984,74.89722258880363,97.86274173440944,52.62227543859312,46.95209064505932,143.38600491457865,51.68756506678718,53.89743458336204,48.99677391643339,39.8747530069584,48.01958827505151,69.68724914516356,51.01984102232511,83.59006917757341
5263157.894736842,285.81472342636783,970.3597599984536,116.74778041260063,257.9829420749501,94.4219106997562,180.7862823906038,67.85406132731741,233.8211980993728,141.31338645175222,114.82196758361404,177.81495942336375,223.68641578606295,96.14003774796168,72.60715782716665,85.9100116981694,193.06021266077695,639.2886174803295,58.07054077115664,218.49540839333943,119.45963639929026,76.41591821235303,209.68010463163137,96.31326682675746,167.0107244606494,188.99406334724787,104.14162239374548,213.8868624057384,183.45228762086745,64.68038005280694,174.33011750034848,91.20994184498475,134.84943861479243,384.18949101572224
7894736.842105264,967.978556005248,971.3089046545966,314.5546113000024,945.862249415502,458.06641820659286,959.4769801954814,221.42078656036625,907.4290953303308,280.67832831823785,368.341534731915,922.677647134934,973.2306874514946,464.9649118473987,268.87512227125137,105.81434761078567,958.7752596602216,418.5764949849274,163.1844251261112,299.06909475617977,512.0415052111131,127.9105477347516,744.7182611294731,468.9599247464184,938.5126316920542,844.4196864189864,441.5499446444071,955.5964442423837,970.3956656186864,182.99719120211225,934.4039832911662,254.38243560105008,269.3172169746292,959.524897075426
10526315.789473685,969.1175802275744,979.6167784126842,929.587923689232,956.6508290622372,947.3271240270038,977.8870149570158,944.8728519516308,939.7877979688036,926.4765793550708,938.8998379529016,944.880762428458,976.1620189344452,947.8892982369316,956.1487942151416,234.16178422852573,974.51733790078,949.886992224696,625.8529031705989,951.7032865692044,949.0861365768718,317.60384103416413,976.5611873941078,944.4073751672812,939.9722904736316,911.8357155646644,931.3584854153715,962.6197803271444,964.2196816698006,451.7614402103953,896.4248725304643,951.5078886123246,960.5819184753703,967.978292068286
13157894.736842103,977.4858401056142,922.8016659648796,931.7218598761386,963.5462335731185,950.8547171451708,978.7022298102232,972.479801619152,939.5709597235572,940.9332489186376,929.3446976509452,954.252800814828,987.4434160666124,922.5211200795017,943.6532445645728,725.3904353951483,972.9025376136944,949.172508880207,970.7662203866688,985.4120175737752,949.040451986803,962.413299344418,984.4798589023528,953.5599451527372,951.1036848453932,940.7896252991088,938.4707252556598,977.6057669961222,970.399406349725,658.2810040903884,970.0408643165454,965.0264140015825,963.4749296969654,980.3437811023972
15789473.684210528,990.583094752066,846.2273804992851,951.7139138554602,980.3453013811084,971.620024379931,990.8850361805544,962.474343107678,972.7131748717908,953.1493879837344,950.9943962916112,974.379249347214,991.1950262808072,917.3360299674428,679.4936641958277,937.0897215040106,978.395997013742,971.5356981166512,971.0243889572216,987.2313250088624,958.3675898931032,906.9590300245628,988.5464560093972,971.5960154265908,972.140133582324,949.3687951571392,951.101051078939,987.684247229238,987.462012121882,743.9919993834484,991.015893507202,973.2017134365284,867.9623100889685,988.9876661231314
18421052.63157895,992.5652420563712,987.6648976173758,973.5216982519858,991.6584701214472,979.078140604694,831.4392426994697,981.2914674235844,716.0003028371655,975.572511024092,983.5950666292882,701.6278352569838,991.2481742722506,986.4361659615324,509.1995713954325,953.9767832643768,987.6846683887234,988.0071666501566,973.3328873553104,985.5695989475356,981.4766678985136,869.0281110194583,991.3124096578508,984.5438842136114,985.0956479892176,951.2308504657402,939.0772767010818,993.1995335906496,994.212123483502,978.1564604709354,993.238318869612,987.6665587486324,788.8836823944571,989.229226123428
21052631.57894737,994.1051110851467,987.2555602818644,989.6318817640606,996.8252901251626,798.5998789676338,770.3348521790017,992.2360980953206,506.57104626520857,985.0616122586576,993.451786931532,597.759824993868,994.6958823468216,992.5884202008764,995.7631098781596,970.0850615144768,990.5619469600372,991.1699667029764,986.9234110774096,992.5812015956128,988.0746542753606,982.2695595551064,992.584594623534,991.015622051799,989.2318492530126,968.1645217456976,939.1287098723436,994.209938259336,994.0732573511858,988.8673904794076,970.4527109838258,985.206748334985,990.8253746508232,991.2353272279544
23684210.52631579,994.5234480465548,987.4843928138636,869.3653046632407,996.7709743352478,784.6617739365702,992.5435377844811,990.3650359186108,531.2471571753724,990.4883726633816,994.947504010392,995.0868986882992,996.3933616800653,993.0925998552354,996.169522138844,986.5095831859144,991.368090654179,993.3185467299002,987.7847994498268,990.5928623114928,990.371390091085,989.1942440045176,994.1648237725044,992.9830195071625,991.179296429963,967.7751397280812,994.6854825980776,995.2410066415068,994.3097138811016,993.9809720608666,969.319543094186,985.487143941368,991.5289300254176,807.5947032243921
26315789.47368421,992.9488204314767,991.7967971675614,886.7673157598833,996.0794094431104,997.4963891156162,677.5989258282733,915.337378790504,407.55381284278513,989.720034981038,986.823039604356,996.3742175452268,997.0190930241032,634.4335548706002,996.1612841330076,992.3355643831792,993.3137549498736,996.0493043826228,986.9540209776808,990.011367533676,989.8720694829884,992.8421883579766,994.8934463913092,992.695721216149,991.7949924429367,940.707194929308,994.629692635708,996.0881458530796,995.2430869925386,993.060992989844,995.514326427782,995.0747760709304,740.9227434769892,835.8568256092864
28947368.42105263,994.2699989707846,995.9573517370752,887.0368450492043,996.9861467655676,997.7717316996028,784.6729243105467,937.1731988203162,798.6321286577265,800.5965679339095,990.8530566849206,996.8785064134572,997.9397948039206,691.8752297367744,996.4885311460232,614.7110686179179,993.4276641083886,996.4371952752988,985.8822788723288,994.1765406318318,991.1148913210448,748.396002179698,717.5687676499756,994.5350905646908,992.4566429709794,958.673231055862,996.6158288720573,996.649345478853,995.7195370586956,994.5105506260968,994.4952235557035,994.4017966662088,828.5163397026192,994.5187776016066
31578947.36842105,996.2430317395282,998.327595409594,939.3448197808624,997.860591949188,997.18324156283,995.7122745210114,865.3969985098057,991.853086884332,797.7249907773619,992.6081993447776,997.1773117836824,997.5712315091796,956.5903640500068,995.8818114312402,319.57022429866464,994.361995180558,993.2760685976192,986.1149740337996,600.7883226673353,989.9277563200764,545.6454672641701,854.0182788022012,996.883981052198,989.9933142265784,989.7067582415742,682.578370723037,996.6836418867772,997.1824333212052,995.4363305463024,994.8343192249783,995.9098920987252,989.5047813835566,994.4392618710316
34210526.31578948,992.6114519271492,995.6942345635382,995.1126870950504,993.258341189897,996.1177172726872,996.5523665415284,946.5650189228336,465.9319384112906,955.7460809186556,994.0636463150424,997.507477605772,648.9387134881556,479.57832572607055,997.2418530343972,810.1155832707062,555.711371846641,975.5728472870804,987.8740686188114,843.9221632715082,988.9837963780868,869.5192519584856,994.8218960468128,996.9651254108408,992.6217667888076,687.0580595294191,875.590084591401,996.924445912118,996.0795276300398,994.4290246007516,994.8760542836546,996.0844469768848,989.6597535405464,994.6761226312276
36842105.2631579,684.4489288085713,988.5816194595062,995.1310523246464,995.9785306803738,997.3674546034382,998.2171615778244,701.9120615634889,842.0759036772145,995.4442678594193,991.7769533346234,997.6169173407092,900.5375077060719,842.1426671929972,998.1254398707208,997.058158637414,872.5818594079933,992.4181692831404,990.7112624262178,997.085964944224,990.8542454345074,995.1503413681178,994.8066269684366,995.8432613495644,994.5969649695294,905.3966722220928,997.3179615752518,997.2485604408377,557.7112054076877,994.4613488711148,996.1175016300168,996.3183750009932,994.6406026249778,989.3972099718954
