steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31,trial_32,trial_33,trial_34,trial_35,trial_36,trial_37,trial_38,trial_39
0.0,523.735107421875,389.043701171875,523.9979248046875,446.73834228515625,421.2641296386719,525.2598876953125,452.9897155761719,397.4766540527344,448.6756896972656,479.827880859375,485.2951354980469,426.7317504882813,428.5749816894531,560.5958251953125,491.0257873535156,545.646728515625,499.5787353515625,432.5559692382813,479.4415283203125,519.5084228515625,463.89111328125,485.0997314453125,558.3133544921875,268.7965087890625,475.4659729003906,487.0770263671875,529.2889404296875,411.7698669433594,483.0628051757813,520.71142578125,374.2662048339844,432.6041870117188,486.36328125,497.8788757324219,482.0537109375,490.625,453.7261047363281,493.1138305664063,442.043212890625,502.8717651367188
2631578.947368421,524.9274729810593,400.5500315866972,526.0902230506789,459.70840829544784,433.2804136032708,525.8110238310372,462.8645950540116,409.6870788082357,454.64181069860496,487.6461730465665,489.35114867081273,434.2284070080007,432.6306314711921,560.6242527562165,495.9670279895335,552.259479623257,500.5971819652745,440.6964577533862,482.859913101652,519.8061646937994,468.5018290131046,486.9740885185733,559.1321506148561,286.3688806245862,478.66154879967263,490.63015308043305,532.1925973953303,420.4180075317374,487.4539842752538,522.9618891064811,388.10674982313634,440.972670517965,490.1632058443785,499.8717830716904,483.3207204744757,496.5727835979488,457.253726590786,494.8985823341684,450.5304837322631,507.335826632719
5263157.894736842,566.3856852777777,605.4230992635531,576.2072463514402,686.5872409683845,638.9620649022079,553.6858007059203,638.802871229576,629.0501178787025,569.032076281854,633.4690027471395,569.9193789912723,568.8510336222081,519.1981681496153,580.6263693363053,591.6088293698356,672.5912547927154,527.8490655815173,589.4040136703824,552.4218479176968,538.728470148142,556.6865935044935,535.8474485223644,584.500173548252,586.3043605442523,545.006128569389,572.3968613827988,596.2514242069212,578.4115378057528,575.2404191609565,574.7326623587727,630.8231902469229,594.7033813627143,568.1482993410565,551.0269653328238,517.392829943892,610.8094947196109,531.9420776918654,540.561920804,608.0998170527726,594.337320663262
7894736.842105264,748.1467815498896,727.5159706775502,705.8768310160518,780.7838744167806,700.4344381265694,717.8499689861678,741.8659427131312,764.4993380578932,694.6432930084147,772.3190017515933,686.0786878621809,668.1374453492773,686.8043021198125,745.4970165147676,714.201714915582,763.0382160942311,635.3302448261478,705.5348676173971,664.9572573494053,671.4335489144286,664.3972242367234,697.3494971345007,691.9860837943336,669.3656596356482,668.5957173607686,766.6168165931741,729.7450122861321,707.3930023702228,702.0603378286322,705.633196156441,734.2611776577139,726.0633846111906,701.3612207270065,708.9118283323304,634.998782302204,745.7765539359518,679.6431576896903,675.9161635394572,750.9330406548904,714.1845092032095
10526315.789473685,818.4085918681443,817.9815262493335,763.891973064877,822.6825694879336,788.8961975871691,818.5529378477556,810.0494878153391,813.5031834962956,736.8010886382528,853.51503373117,768.0619816859343,783.2161733622036,789.0784681721738,810.8889412146856,813.9860497762622,821.5876719839355,777.5979509393264,785.0187076445762,739.2801661220614,801.9249330729328,768.6633143451405,820.6664748026724,782.536127211975,792.917420779569,777.7125755862186,856.3202229807582,792.4831475643571,806.3110914712468,769.945862026426,808.778590957874,768.4432902375747,819.2956485272774,802.4908012432405,801.3790389996157,723.1939626922237,827.4479078526642,804.8845929419235,734.7745897400082,830.0206421537742,821.3728115083109
13157894.736842103,851.1304388039661,848.847386436119,804.6588606652791,848.6496607520904,823.5058946297439,868.949546639774,850.4986079369886,840.7559221396816,763.5250947178235,872.4655451431169,829.0746754227913,821.8876390268928,844.1233734579298,833.9804271302725,870.2857728526203,861.7722689260075,828.9340546170761,858.5573397336574,778.1602434823058,866.5497805504257,833.6067853347087,858.6934012499872,834.1142627362399,830.204181934988,814.2013174627297,877.7964766745422,842.6405538333751,838.5457064118082,818.2346490700819,850.43488317662,791.8404948790647,844.5022150908811,857.2220320830385,835.0838457722413,760.1015224121614,852.2060054332596,861.8415611899791,769.0394349474656,857.7272598419823,853.1656460076819
15789473.684210528,864.087901789726,859.314431127749,832.2408560742301,863.9899353875347,839.5847796862146,883.1970553173583,865.7541368080308,848.3218032339603,777.2611606167294,880.5318473597313,858.2349577808644,846.8912198490714,876.8115278446113,851.9409623562134,890.8150250112581,868.6170359133354,866.6925248389759,878.966874556198,798.9880092857287,894.7703203937024,861.0532352442226,870.7068885439321,848.2978077671204,855.074594561413,836.7011007371042,878.9481700490386,866.1164411431864,849.5623132238097,847.2035210862384,863.0440821409886,816.5940301609832,858.5128477544336,873.7081959967468,851.1317959208237,775.3483443309726,862.9026370596688,880.1186084205755,793.7520222251105,872.9953186812494,863.6308177613815
18421052.63157895,869.1293898451031,864.9572923913227,850.0462791123879,865.6802150404023,854.3257248454477,888.2609492363692,873.2829096092742,858.0859025426189,791.0903967538038,886.7458574900667,867.6188370451703,853.8850978323958,890.7436583227068,876.3250374486902,892.2918212407184,867.4020638228124,879.4915745071758,887.9264604784445,811.7975383478519,900.6389407066428,877.8399509244348,879.0135400821958,867.3957905567914,859.659479430838,855.050516370426,882.7925072413072,875.1736978639196,855.9380873068548,858.6502023738838,873.674796520673,838.756585809993,865.8735782921809,882.3222519258383,871.4571831460805,797.28823420199,868.113790488144,887.7065498282375,808.2190684791748,883.3655359916739,869.2024882399475
21052631.57894737,873.274954016519,870.4292991247204,866.7854460032032,861.7743123614557,856.5472429188335,892.8993345931626,882.812701733819,871.5936801559046,805.1097957090658,894.5198305095662,877.9472815230943,859.4181821590646,898.3442987669208,885.8569909264837,890.9835001874168,865.727892117487,891.3353106453808,892.8258954547449,821.8841059082433,905.3765597462324,882.6604528044069,882.3183588889167,875.9952047987327,865.4093358008155,859.9868131793437,883.0224185465446,881.0076315356754,860.8652108184518,866.0165918949899,881.5056508584696,853.2168409593218,876.2533358206709,886.1669187347644,891.749918895415,806.8716836570043,873.000277063523,888.758755389343,824.9350852715341,888.366928252487,872.7694206752935
23684210.52631579,875.5264943029082,872.8719060219556,870.6750278903837,861.9615938878126,857.7597413223206,899.2178446949354,887.237764798208,872.7091975884094,811.4467558474422,897.557768135685,884.1292973552054,858.4769437332893,902.7485799967748,890.6047738392598,893.1695571328795,866.2718458426626,898.6759155684891,894.9516135520222,832.7301815769679,905.465811717048,884.0278598050331,888.4846049517475,879.7333061214629,870.2088139531024,863.7547970249052,885.5407652523048,879.9279628455474,863.5241942392491,872.7617152181358,887.6565850664374,866.4006437814467,880.6534635829133,887.5848652812913,904.3944472147156,808.8627123593293,883.453533843944,894.7453397410068,830.8177991762055,893.1353460258064,877.7326291502347
