steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31,trial_32,trial_33,trial_34,trial_35,trial_36,trial_37,trial_38,trial_39
0.0,161.7954864501953,108.22278594970705,138.40843200683594,128.41342163085938,136.42120361328125,202.80496215820312,150.02609252929688,119.20993041992188,135.13259887695312,132.21261596679688,219.2667694091797,199.88934326171875,115.20889282226562,137.32498168945312,121.42534637451172,120.53793334960938,135.35211181640625,202.5966796875,128.85848999023438,134.5623779296875,128.8986053466797,133.43324279785156,114.40584564208984,179.90646362304688,103.66804504394533,138.509521484375,126.92974853515624,133.7215576171875,152.35821533203125,126.91266632080078,142.78053283691406,164.07159423828125,162.46148681640625,112.81851959228516,178.4571990966797,143.2330780029297,124.55199432373048,145.34121704101562,114.2959442138672,114.23524475097656
2631578.947368421,175.1786095233753,121.31468788654108,151.03655484776914,148.31577713089968,146.9366947498348,218.05818803397904,159.70490005249133,137.91458197354942,151.03769980284318,139.1922345421486,236.6225091448864,215.96441947522257,123.50450604501854,152.3139634539381,132.355970661499,136.2992871678602,148.13931600109692,211.1067316856576,135.29816833435663,145.0616341395061,133.22004192114042,146.84773516881995,117.57612909329151,181.64512616078116,109.27799698244009,148.21857179317448,145.26532458796726,151.47194260375323,158.76490642307868,139.75733776813647,162.32649431775977,167.44891756401498,177.46480868298593,119.45802622948904,189.5663284104204,157.31022602447678,140.3104674028764,157.06020907607763,122.4912710305809,128.8630409260123
5263157.894736842,405.7874406155127,358.0354218425183,375.80063250338935,490.01073131551374,341.5976362918553,478.7169088960685,338.5308315192564,456.867471649376,426.4144657305403,265.8219764288773,528.4723389178432,493.0723814815696,268.3270455080386,404.3537669842263,342.6587902702123,408.2357577544501,370.5299865486219,362.6212407822754,260.09845776769265,341.75256608199544,225.76913332146623,380.47020573431104,176.38674764298003,236.8330763250672,217.69995178492775,330.00853829089954,459.6723057493939,458.60000035174994,276.57942515413515,367.5541294737206,495.99173696384537,238.9580314682792,442.94860738994674,247.99500566456788,381.7145661784341,397.6458793807558,417.1238628302255,358.08011471333594,271.15602781518345,384.1678338645237
7894736.842105264,481.2746773065788,511.8352511278315,497.4915840686028,570.1519967580106,511.40646217288736,544.6185642117608,492.8071679955044,522.8282213447167,519.6137681131218,366.26136553006825,561.7465219426683,571.90998704975,345.5249442817267,432.2892914681884,568.4540048510744,495.7856148696012,466.5755459088368,457.3328107767984,415.1790377564543,528.3368797130532,401.4253259439878,473.3493869400421,226.29624155989316,453.9087435251458,351.1268913719463,500.3336844073604,535.3766032931217,560.6938285840846,378.6740531639875,480.9391119589931,562.4631013959398,370.00028101468354,572.0271609019375,397.7769776275614,453.4695551461461,454.67425739831214,542.1390293968682,426.62068144981225,377.0957456745434,497.11404765675934
10526315.789473685,550.8611932837732,550.1513587127432,538.2823650975637,572.33961592949,590.0148060394456,603.7511470641456,558.4481280417984,542.2423483849892,568.8709982775586,465.7639915147316,607.2974745943276,585.0653636693294,465.87556378266817,478.1062418536136,582.429311675048,559.9870380212726,575.8729512077289,548.206943587253,508.7422811499593,604.4225679606282,482.1353824957586,540.175092953394,254.4104911452185,515.1573229265346,448.21504540258496,565.6488810067692,553.1452496699019,606.8772935035156,455.31202950305885,501.70293489816777,568.0534971189632,441.3027068052926,594.6258283619075,458.2753748173859,529.9290063367986,511.0866605865658,593.9132059729991,534.7933959531651,431.67894202751467,599.0562739385463
13157894.736842103,569.8340025902455,587.5333232879639,562.8637391117471,627.5732568173858,599.3643335396233,611.7928438214714,524.8984086009109,523.6521924369223,591.8829387797873,513.7687872573114,621.7190239495518,586.8642082544575,489.6145954956804,538.1575145227757,577.2401941755472,582.410200343733,613.5626109716304,575.7463441892344,558.1141782180094,624.794271907813,523.901378675511,583.653876804579,330.1632875545864,531.1848446669011,523.9343433287665,585.9046257281898,573.3637080403906,602.7403834439051,502.0257445517669,534.2804558802179,588.7087702107232,519.2981703101433,598.0698501015304,535.5727446460658,565.6497934338458,573.7788386764289,590.4167031279231,556.8279452981051,456.8675795053016,622.2438061504813
15789473.684210528,566.622896917639,603.5325457105346,571.289947478725,630.8829157359052,610.461384222448,623.9981016089051,511.9386249970531,528.7049672626723,599.3649121070503,547.1036510170331,632.1339802372158,607.3006948569475,534.5951906819093,577.8964951632756,582.8581940533381,573.7141383741041,629.0454804976561,565.6420882375617,593.5951940075513,623.8948337998747,531.6732416991712,590.4573014885435,404.5359684526095,533.1837849920806,540.6425047118909,573.6517991454978,573.1900878474323,593.7901710899253,572.4335862725065,574.8687485697527,597.4055163596146,569.7522599789575,616.8206966821507,572.3134801523177,608.4515512739192,610.5340538906588,587.4805964106008,574.7932637933219,473.7895236636133,624.2758845160213
18421052.63157895,556.6432025366543,610.869832847257,591.2732948368606,630.5253504196032,620.4552618314685,627.5506631454602,536.3077617035018,547.0371545366634,604.9821452506692,564.9781015229687,630.7484331315904,599.4290260882259,572.325274975181,567.6240493083925,593.6740203275244,592.8435918535222,631.1706135807935,542.8796493919602,603.4258308136563,624.6338491053463,553.6380336195479,598.4436247873834,470.8326355534247,549.1187147336324,564.312733829847,587.4566297829977,573.3694795464214,594.0491796086369,597.3332646796248,600.9944901175777,608.9972133108123,580.4641171021805,628.1299536039954,603.1193603812162,617.3566216232043,601.9367237086111,611.8024343220811,589.4810061375521,523.5631870084192,637.2011217053907
21052631.57894737,566.9400658501812,599.5390210666815,604.7322782505912,637.7917785472818,605.3481522914115,618.090849536938,565.0679040892963,564.1196721055832,625.0886183973824,580.1230773978616,654.9443508356892,596.9910511957311,590.6263233723733,587.3573991849482,604.949205056452,601.3635717930886,631.9790000281506,552.2376886404783,604.5371182367742,620.2293026044429,579.314195965796,589.4574514214682,532.1843253185875,602.136639939781,575.3448076168917,618.3680664310825,578.2464205868687,594.933713269696,607.9479208956795,610.8059926072647,617.6469739824121,613.737115984148,637.3372569242673,621.9935937469355,626.8330967023433,608.5950828549604,603.2654172984517,595.72626607636,544.7868004386775,642.6260198476903
23684210.52631579,576.6349796259833,590.933788330271,617.7447085319463,635.3551359926234,620.2270683979724,608.5089842327084,589.0870361438749,578.033198330541,632.7895953242469,585.8257179040658,664.1869254041246,603.2885982437147,601.9342551838988,591.4286965229174,600.3294419301184,624.5906195775954,634.2836810928302,575.6972713808934,605.5599311221999,619.4667474308833,575.8319607497582,591.6309226606031,566.2757392484395,630.2751454996601,588.5315065856125,635.946347094804,598.3266989478113,584.6846041900629,619.4846446883976,622.7277649769823,624.1806511786506,606.5007763711369,637.143782175644,629.4895618259081,650.7356639808235,595.7633499952234,604.5611536336078,610.1736827928604,560.1730805638755,653.6491597405432
