steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24
0.0,37.77773284912109,31.50742721557617,30.4921932220459,27.493799209594727,33.6566162109375,34.953033447265625,30.107032775878903,30.8442497253418,34.65653991699219,34.45589828491211,32.201934814453125,43.08326721191406,32.34484100341797,35.72728729248047,35.153202056884766,36.62329864501953,31.053295135498047,30.104766845703125,25.23203468322754,32.225860595703125,26.1673583984375,52.134986877441406,27.055938720703125,25.484628677368164,28.73019027709961
2631578.947368421,40.74648915419041,32.57813291982271,31.57278846167647,30.05443959637259,35.5423180059713,35.97344345404377,30.99586386681429,31.845655246630024,35.24613039400893,35.93681167704866,33.55505829111485,43.01661697149772,34.35542299006124,37.17626466987,35.81867506944283,38.12664905372089,33.03669785267552,31.67975546927333,27.66985452682337,33.56702785866743,27.50168980031669,52.713377123879184,28.159760162709,28.305729582673585,29.94556865458302
5263157.894736842,93.22162124200872,52.88006348154634,54.731685235601056,85.51143406079747,69.23139139803493,52.38584409831633,47.614584047543374,49.672500657655526,48.4029550467543,109.04061558161584,57.50933790027352,44.51049103561036,83.90264764679932,62.05155945854092,72.05530342018011,65.8108623680398,66.54932412938564,91.23000995241046,66.98076529759615,125.20516135025557,51.663167831371865,108.590103575707,46.70612308052768,77.18359439504279,139.1417336375182
7894736.842105264,216.6342608005305,75.27264979698404,217.72368254320628,284.55994588743465,91.11070599970397,47.11344438193784,73.1484564541945,62.51330297471249,199.28412328833872,558.3696309538595,81.98238268383159,66.18035637500627,304.8142166192596,75.33999178453331,382.0459015172111,217.57010459672895,78.2865615834655,444.5817934574349,103.97638486210172,712.2885799275872,108.75072842894176,522.0165978662691,59.189112354699446,228.818824429736,849.4771815581336
10526315.789473685,754.9384895460757,229.55747583211303,834.7331935441395,802.7711796753955,127.76626699403384,68.21311368721015,293.25572988275354,144.54673027249257,828.2759572251022,904.0098396470344,319.46655236419883,74.94701744735737,790.0130543299329,185.3938882413664,930.6851094594624,852.7446656431848,126.46792918988542,894.8157037618748,462.5187211030078,935.3130322750916,448.44504454657647,811.0315366748958,236.57299071715485,899.1291435900818,923.584791529542
13157894.736842103,941.3476347541877,738.2129205075657,909.2455111433264,936.920689434556,357.6765313144783,239.9158824178238,875.6172913847868,518.6761072861686,910.6904019653962,922.7526933027436,913.9714111396812,94.22822560681612,880.8760973403329,577.6548251329697,924.0901698346285,863.2221980268275,323.26715598340013,899.5546714488489,909.4932296986065,950.3514595315728,919.4698874717604,941.4003850890329,733.4123348859539,918.8944819701676,940.0634688034944
15789473.684210528,953.2415429502312,854.7362882562622,940.0492974863158,958.9358854161736,830.4848771550979,592.0982145255955,923.8149423922858,916.1040606597784,948.5312951301272,957.7155819216592,929.3127042619806,377.6600842577437,938.337099883695,925.2658073647862,948.1653930922956,931.1445043912556,796.2365096196575,934.843148751272,924.9809288252094,963.9185831325536,941.549052695158,962.5939570992276,926.4190826865114,932.7958623012348,967.051830387842
18421052.63157895,969.1948596457034,936.575303198558,969.0835885534326,975.5213711899072,929.2301848978216,881.2606621988923,934.8694410182102,921.7631195843056,968.0570362410056,972.5805944090404,949.008521036428,891.5753837652154,969.3777732160612,928.6324078909578,968.279610385525,964.2193934463398,935.0764114493478,959.3412900058516,955.3761052370402,970.9767483824508,955.2950504100224,974.0972692819512,940.547222222978,953.2726004462164,980.1121207852112
21052631.57894737,978.8832288950764,960.6003945989952,984.390884790394,983.1242247684512,936.2611405182412,922.8987855501782,958.6773496889342,940.545479894675,979.8454258290024,980.8302456005129,970.729547656474,921.956821740169,980.6055603912332,946.3070906166224,979.6912088063946,977.2673884243846,950.7235747374326,974.2581693762888,973.2271899133508,979.9470017253528,969.5224806000982,981.5181838006524,967.0779582853132,973.6226289609132,986.5465281505004
23684210.52631579,984.1912547701612,976.78642228254,988.4917158720566,986.3789437190318,950.4578512476093,943.3749620158256,977.7008346076487,971.1094145601476,986.2361163118868,985.3668440917191,980.6522762648286,929.8009693404643,985.0313432442844,966.4856291198664,985.3237170932036,984.8963757292717,961.5125991117592,980.5367175875608,980.70833135906,985.2882924136032,979.5450208358816,984.9668608936906,981.2637081978394,981.710038690851,988.4854815551118
