steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31,trial_32,trial_33,trial_34,trial_35,trial_36,trial_37,trial_38
0.0,569.4755859375,530.9501953125,548.9345703125,676.3876953125,520.158203125,424.779296875,512.01953125,408.798828125,525.1044921875,534.1904296875,323.197265625,407.2119140625,550.9130859375,351.2060546875,447.875,573.6826171875,601.51171875,529.9521484375,451.205078125,596.607421875,541.0791015625,548.201171875,440.1435546875,377.6865234375,222.3955078125,361.544921875,946.6103515625,571.841796875,520.013671875,354.5537109375,526.357421875,596.7197265625,450.08984375,733.7021484375,475.1298828125,569.9013671875,445.8701171875,500.810546875,533.259765625
2631578.947368421,571.2170941730616,534.0237220093154,551.477836822869,682.5989823962183,525.2571952666602,432.08028636150414,514.7327955436178,418.676363818203,528.0792872727412,539.1622280480128,339.3008178515448,409.9081232039222,553.6803397551138,357.0336562206871,471.5812739348478,574.0993609388779,616.9238728261721,533.8895075182505,457.5643241914025,612.786337939656,545.7961801174936,548.4563900453562,448.0708780262279,389.52761658803246,253.55787344586489,363.5362770154536,944.2244575928452,572.5825885180951,525.3834422447014,364.9859820680275,528.2160458472297,598.3520375249128,457.4180218070498,743.3514884092801,483.67695051283056,571.3991196439537,453.4937148450815,504.6274677868365,536.4473071217207
5263157.894736842,602.4590267593511,589.6585182707726,596.2512466240457,797.041582313601,612.4681819218348,555.5450565095093,560.9280903623375,584.0232588855183,578.8351122097956,629.1043408253847,612.1065116787221,455.8880232813616,600.2045500958725,454.8302361707608,870.1691606051373,582.9620059586628,877.2099444318015,601.0410985920238,564.2726815453527,883.5454867936237,626.1966728675399,556.9206406601248,582.2156914475883,588.8772501747363,788.6052757326586,401.1960815788967,907.2389919460644,584.984991644228,615.19517687219,539.4469424060177,560.776026987303,627.0834407859231,582.4855431110245,906.2114249358876,626.8926613403489,597.8861649056221,581.3613816047309,569.7793497629773,589.4216719545486
7894736.842105264,620.4905403406666,620.2952537721544,616.4985665799508,892.2357834977126,632.0177730945999,568.2988198219574,572.5204881446183,594.4968567053037,591.6087013730712,694.316225366249,661.315468571523,466.3039084062021,603.8792036061802,462.4678706620869,904.8766467815622,598.6623152392062,911.6614123368196,613.7340259763342,570.9963261163135,901.924330436622,642.3968123438616,588.8275772527975,600.244558025265,608.7676685761217,906.6505651949516,441.15675724906606,932.034462231348,588.8833151180659,622.9308061705402,550.3182474807359,576.633156137123,639.7409245472536,609.1901268021222,927.34745125229,637.7756224603204,611.656624852125,593.2349217776776,586.5036196959646,587.7004354112366
10526315.789473685,623.70354639196,600.0924890259296,619.2719130476426,925.0072411830404,643.9187420345739,558.0714301640307,588.2735539909215,606.2653874109326,608.4740376142254,742.182925998339,720.5581254087326,474.43800216632536,604.7277802760581,467.31304348340655,918.1785202343378,604.4053613551766,936.0833428295696,615.0035869989368,576.1854703908482,932.6060898482305,648.8037199617423,584.9703444272197,601.8113351119192,614.0524917877282,866.2628354629982,463.64546992970304,943.887163928341,605.9084569027549,643.3783362644862,572.2829490302342,591.2352647120932,643.6051177027483,620.9215221880546,944.0227364939004,653.2101519048379,621.0581685116416,612.1105964111159,602.6664948397396,584.9652018348926
13157894.736842103,628.9328703127409,609.0787142069386,614.2272860561382,908.3300570517036,667.3513283795597,572.0600037350218,587.1285361239785,606.7910127243507,621.0029235903246,781.1387418736381,748.5258536563356,479.3396833504336,611.6814108291161,467.462981572772,940.5990593109764,612.1666788434057,949.8368042842832,620.6589995672168,602.7213271476555,929.1991981971296,653.9677334122381,588.494697264357,603.8906109088675,613.9103819643692,929.868682808493,468.20054513133465,924.9840880655516,609.2003918328113,648.8974759189045,583.1460756423401,594.9038114679818,653.3624574523883,627.603927554186,940.8774814552878,663.0198152864409,627.5759266829557,614.7815275799865,598.579023524995,599.0037516517322
15789473.684210528,627.1362030842959,616.4744132826534,622.4899867578226,923.116025507285,664.758122943445,576.0649120933131,587.2720615725108,610.1364997060675,634.0490416899282,867.8289497671366,780.0016103517316,486.6094285959682,618.4255228914383,468.6189626498236,949.619829727342,610.9547972428171,946.0166932578892,616.2423021681091,603.8636869604898,907.329757621744,656.9693444270506,587.2846079004769,608.9759281877006,629.7425450512577,934.7910376995223,473.0486519356514,932.4336596776903,608.8582285619509,656.6599198233058,580.112430688747,601.7176405306998,655.9354794679256,629.875945347498,920.947195798076,677.9614764025997,629.2418677522866,616.2729269857222,606.8330506565168,602.6072652505045
18421052.63157895,630.0890885297612,617.3599372266732,628.8298517501916,925.9584849693108,671.3977725169004,582.3051798363472,589.492391116071,610.5020764607142,651.8798870551619,952.0634424415651,865.0359593203855,481.235349158501,621.135283456945,468.89170085822445,921.8814656133468,613.8858142572757,954.4598718151822,621.5355361478811,599.3380724967682,918.96408445353,656.6747851147215,591.9695568771574,610.0881288533726,629.1150927636102,935.4603786917604,468.4664577288641,938.6551876754972,610.3015095190328,663.8860944684523,583.087182760899,593.5653462713775,654.2666626108651,634.3566137086651,942.7382373043704,686.6272316058256,632.3015959044903,619.1266579244935,605.3150761173703,602.5977719246185
21052631.57894737,629.3434638448699,610.9044105128238,624.7271161066197,940.8912510118986,673.7987639408693,581.4322266935311,596.7389903821444,609.9463810167814,661.2222957875259,950.7967058218748,946.1244493521482,481.422327606962,618.6643005751507,468.86308428058993,918.6076527011692,614.3696259897501,954.7237429420704,630.0310328052975,601.2749304520456,936.1254486760274,662.1488130733247,594.8284751490543,609.9077092009568,632.4032358608088,936.8936722351244,468.49485802056057,936.6887953063458,610.6701089325373,662.6405164766179,584.5382023227512,596.5030682423769,660.4142331575092,645.7154265427523,945.4015755270326,687.7956152200038,632.78041315475,620.3461843897431,608.2851539886559,610.6895754700553
23684210.52631579,626.6273661082471,613.5208737592618,620.2608818888995,933.6412334706314,669.85599753467,582.668460565921,597.7077181887429,609.9223155869671,662.1151184520563,923.4852937846302,934.6397960668126,476.0808723270068,620.7326048483809,473.78342539187616,937.4401590685436,612.7343165194229,956.812423124868,629.658178490615,607.919511369721,960.6179122026608,664.103835269685,593.5534552523965,609.9076904074967,647.1391037705863,949.5540354166004,471.4162452359609,943.1699387056344,610.1332738353275,663.1561505404866,585.152088646083,601.2331846163213,662.1599971158353,644.4085912915808,950.638150159672,686.5056064743085,642.5744166572339,625.2900182824386,612.0460051486367,612.2291640971176
