steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31,trial_32,trial_33,trial_34,trial_35,trial_36,trial_37,trial_38,trial_39
0.0,204.384765625,276.1142578125,294.43359375,278.96484375,351.33203125,392.0390625,383.1318359375,358.8837890625,188.087890625,281.017578125,324.35546875,324.4091796875,349.2138671875,275.01953125,327.541015625,264.2919921875,226.857421875,355.0771484375,333.359375,290.4658203125,234.263671875,370.615234375,388.3037109375,327.216796875,240.548828125,304.6650390625,318.4658203125,344.701171875,286.9716796875,327.6396484375,229.7841796875,341.2705078125,368.0634765625,202.466796875,340.80078125,369.853515625,407.140625,377.5185546875,334.3583984375,388.177734375
2631578.947368421,214.92551416835627,283.2959166075054,300.010185527009,283.9558568436684,356.6300924570607,394.5009294203444,389.72714081497406,366.5632035818127,202.4975007709704,287.9736437705085,331.8488824374128,328.80680638204984,356.249726580781,282.12898251752773,333.0779597105412,273.6363882529769,236.1511508487268,360.06550358537163,339.72255261122683,300.4408693921203,258.8531590485507,373.96330472306863,389.3840551561266,334.0867561514688,249.32929669060536,313.2705261964877,332.1329775992523,348.99475106638226,292.10350853452394,332.87591240478685,242.50095523031132,345.1508318063625,368.5100668302203,212.2850825264844,348.9739645749248,372.3402454133179,410.5009883473784,382.2616589617531,340.4321368262378,399.1769231944203
5263157.894736842,392.2236949730448,411.7970428202621,397.80775774482873,373.7078502211214,472.261369446308,450.1302411879859,508.88611447447886,509.8001587410713,448.4901833626702,413.0145537886263,480.0559940338135,411.76125672253215,476.4922795863693,399.6298078394332,452.1425739721578,432.559610826487,395.6850499340702,451.8646402596767,449.5189524674349,467.6560591171983,663.4725342378061,449.4246210272623,416.2766221540456,462.8992542256279,403.16903261728896,462.3385225015994,576.891775083674,423.9154125065685,382.7736471445607,422.6006594787344,456.1289926988596,417.1669690404242,380.9466907628025,383.2333599312484,487.36368085274734,418.2851918027672,462.9446683445135,476.574217989174,449.31490515605896,593.6996884279964
7894736.842105264,416.70103551806505,487.1312730001941,436.93504814295886,442.22231068175256,696.0161684411385,585.9893748132806,600.7806805217035,651.2192551858537,499.4339655825966,521.6237967166214,665.0055241835745,496.5347736231838,516.8576569623234,408.61870946118046,655.0697664778648,485.8198084897282,438.9881879721983,568.643766286961,501.357621237842,503.0477186609834,641.9393676086806,620.9442807274182,486.257870645074,603.5499912880134,490.17047443284224,540.1253807432435,713.8983340831345,459.0355870835999,424.0350454784826,450.82668234700975,473.0493942746825,492.6626373195913,423.8964599942236,494.6604515165504,519.7061308757751,482.4571889919588,435.765731283172,598.9633451868623,525.9159912627159,691.271769182834
10526315.789473685,471.8052943327421,519.3002432191802,454.10512793163184,545.385977398986,745.070929360852,692.7085053504669,691.365349576744,761.493180399126,532.671105783732,698.0443438374105,688.1607535195812,563.2021975741823,649.3202349908464,518.7661101111415,665.4244981697061,616.698846008639,481.842720644626,819.1160671836451,615.3848480055537,621.2205829356186,703.9088962797973,749.0477031591527,499.44364214868096,737.2924548965411,683.9143888838073,704.3826229486439,727.8731740174861,532.5189209618397,495.1286767552765,508.16409822712313,479.80729057121806,631.8133987680367,470.89779643008586,776.2959707265416,635.7758829322879,668.4906455380765,438.9471776756223,617.8667346499964,601.5795874344675,714.3552843130857
13157894.736842103,523.3549409559889,557.2049322339636,506.5681256059134,621.0041394748846,808.5748425005545,690.3186159265999,705.6204684883604,829.772811186941,665.0897367852547,746.3388511652431,758.6053181804118,706.0931196133516,852.2947565036467,706.2145744360715,818.4001570910298,630.9180415806018,602.6091329780642,882.1186516066998,648.0457460847258,651.0772024667164,694.414124256356,907.2967707324888,527.1931960642173,732.9948699771533,895.213917272573,735.6599311881448,807.5759201393233,704.5375939260889,770.3198887463092,646.4545376320625,488.89868292716073,839.4513725507953,602.9593864953418,882.20549479614,833.8633770084117,842.8624607149584,456.49197008074816,710.7574866392606,661.9293856766085,686.0805076482884
15789473.684210528,608.2152588281606,591.6878760329905,492.8779381833909,629.2690152725685,923.6209300244614,669.3574923095281,782.3652688235128,900.8466296737544,799.6457243150621,861.4379798381943,820.1629638249194,861.8727371818142,880.7657065034904,868.7491485299827,792.4281954038837,726.2669260178247,749.8546177079473,891.2128715092456,652.4099798017592,807.6157108845804,711.1385317931876,920.4637974028442,514.2152285958922,728.1285817154227,875.4238688450441,729.7051109409068,925.1853001877212,846.7924801147545,848.3524928317506,830.8485524291146,494.78622034448006,896.8649488908762,702.7978152964585,911.5554445483348,897.3484125956273,882.013223891113,499.47589153067895,863.5165840476503,840.8433666546259,725.4725518741766
18421052.63157895,698.5813073240158,682.1177972862265,554.8289527919485,742.7782621700678,939.360566250175,704.7409336798079,905.4618262795532,873.4885541567181,849.6022985569329,881.5498011105609,903.3152021476768,921.7906440962056,901.7114435866928,891.8469091822236,818.3301379264557,909.3806852065956,808.3589540703475,900.4945274944781,721.5957695651913,869.3575841739897,731.6960795896536,926.362671783426,636.4433903073341,761.1873509520639,885.05686461166,746.0195234647418,909.938193722775,870.328610290781,860.9073058865407,857.2589168997683,555.7886099273809,917.896097764414,719.5060698781317,935.271249208424,897.1545386803117,905.0182680885548,579.9914738557345,884.6312260561702,894.1852431389764,787.4947644442403
21052631.57894737,727.5613827692174,796.1732158291043,671.4708091756975,858.939115698648,903.396110957349,752.8365241602847,907.7455327253264,877.3198145393519,907.4619533929798,892.0920342104587,904.1676881108588,940.1974855459958,922.0095639638294,907.9921568767516,857.225014430334,925.9332175849216,901.3536244019908,904.055931598526,836.9408071840239,902.0012355180988,735.3598637884674,940.0160254481096,785.2309619766194,761.2396570982365,884.0276398381368,831.2269475625162,913.6691561669854,886.9722090533566,883.3785711695283,897.7106430603196,624.399722852205,908.6037381454848,741.7967287311924,945.2847825787404,915.1270687494252,920.9143915361316,655.4137975000609,919.4536744643448,871.9669265113049,882.4118356466954
23684210.52631579,813.9264668599391,817.019875898916,736.8271495074116,914.6261031660677,890.9044197695407,833.3801389519858,907.0593031806628,902.9961436633588,924.427099275457,910.9896358162412,896.9048908159673,943.677488971615,928.8851331964424,920.7241650525884,854.3612401756224,925.8512942982512,947.5156175317528,900.1120089084488,928.100315041159,918.4819335197808,755.3191812124279,949.026469217443,863.9155137017162,764.4232171737586,909.8347635189912,897.7224780529159,923.2977399852468,904.184386176746,858.6969278076679,917.5918275061736,691.0732428822821,899.6544769715074,752.564603174162,941.4514101773418,938.2057533422666,921.4111127377876,719.7561466106088,914.5660354688227,895.8711153516479,878.4354042069073
26315789.47368421,900.9805514158636,848.070999959169,754.8215754712387,850.5897823714154,913.7972377185346,886.1604588896944,889.2257181415928,923.6899511596172,928.8258950611232,914.326600737849,899.0931350517801,942.3876810998468,917.6442025731476,924.4712923266552,863.1120065757773,924.78866057779,952.199772842703,934.1341820502876,940.002886584591,900.6579408196532,741.0255499599383,952.8249283946452,906.4554862606228,760.2914321138588,920.608451198673,900.9355675493912,932.5057204132926,893.626492698437,864.3408002034449,930.3350471486016,775.3204834005509,895.4345851116233,766.3518761611051,927.6102510119408,934.0018221466826,906.9923304877452,724.6614199239461,921.8733612916476,913.4137910753076,894.1816143500838
28947368.42105263,889.38005831235,917.0267302547466,783.5140297089257,878.2639276261475,926.8674412777548,895.7883704283231,901.8052246062048,930.6413019264834,899.8344685271836,929.4976291524406,921.0519185713454,929.0791061274564,905.63447324589,932.405727698202,893.8542280434901,932.5301904757596,953.1811214668928,926.4777776607186,942.2955038329573,925.4291925377464,864.9347583554128,945.8120072885232,918.894011603168,769.4366590230419,921.9787959259965,897.8639857062343,940.085413816563,896.77081567759,900.7290679582928,931.2981220255928,806.4254507159923,862.960920336504,770.0047101631059,937.3925338729266,928.0971913271665,905.8913479670264,728.3266536284682,903.8477268720928,904.3075920908076,924.078971210279
31578947.36842105,901.1537738810616,951.5936183453928,835.5033369619101,921.4649691806276,933.3364851362488,903.2913877006384,907.1598630783632,924.7614911679086,920.4843112385504,938.164116381278,927.9990269457536,939.3580851039728,902.192290636311,928.511312225849,896.8261080078801,928.4601093619814,949.1868982499986,917.112582610915,949.8796010215528,938.3843634755988,941.5851340465598,950.8701559896284,924.4074862577908,740.1261775156797,931.3541429577772,906.1456092982412,935.6502016336964,908.3495563496512,895.908536440778,940.4780527680203,782.4156097665717,905.5042012603,755.0593980805035,939.2565742661748,930.0140222142608,891.6152968789731,734.1228448968185,906.1875343534094,920.7907225907344,922.238743515226
34210526.31578948,913.9053375159604,915.6151724759892,896.4258624523301,883.8634890585395,918.9059112606948,905.8876548222888,924.094938869952,923.6525886329588,918.7040301082536,925.0518092237352,900.7263532913292,938.1984534461742,923.32941575724,933.0778534300108,880.055090325691,933.7084303219232,954.1207264110324,865.2836625820381,948.079978150344,921.2979863053214,910.8574312004024,903.288384849675,927.6969188547532,730.3899433579802,923.0293026340304,901.0336406607375,936.81162065152,906.2970888898644,900.893755334236,942.3648450513296,838.4717345330195,928.319789109798,770.0543622759241,904.2212873522265,917.5163913684538,901.6751626508718,794.0202004599109,936.1738117830904,942.3656720322584,897.9699398632525
