steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31
0.0,24.22389793395996,13.16481590270996,10.06222915649414,8.97270393371582,9.35118293762207,8.97625732421875,14.536627769470217,12.888678550720217,11.073569297790527,12.778437614440918,11.535381317138672,10.091994285583496,14.48494815826416,9.8634033203125,8.930910110473633,16.77936553955078,13.301088333129885,10.48751449584961,15.361459732055664,10.235597610473633,7.815502166748047,9.28850555419922,9.138626098632812,11.680060386657717,13.735397338867188,12.080533027648926,9.40916347503662,8.613452911376953,11.626276969909668,9.875264167785645,9.845600128173828,9.261361122131348
2631578.947368421,24.509639652750334,14.038392681922568,10.685928856381254,9.458368578667743,9.972106914084993,9.804885769814996,15.283109456318794,13.091985718047871,11.603162023605176,13.297707872049898,12.483830491359504,10.820907854867215,14.599675410071136,10.354908718957136,9.374121598708456,16.62226770514844,13.462009127656838,10.75045905161102,15.221215454350713,10.615777627268283,8.211606173015037,9.567235448451871,9.61968854764203,11.749334450885964,13.80299612720061,12.61158915941147,10.106680708509094,9.042865815038414,13.490607316858572,10.087633723302789,10.06258523641696,9.503728498766648
5263157.894736842,38.63642602441755,36.80520533989094,21.84719858702448,29.87946738987914,23.958742549132115,27.477349870567345,29.880606836941187,16.526102448372466,36.67552089245366,37.993046032940754,43.15646829490146,36.0364556281603,17.411408244665722,23.844658570936843,33.05609986417182,15.367960855406078,16.393891861853177,31.925458275896204,13.731923955495256,18.24809426589356,16.23555962366782,18.426884669273928,23.052826884029813,33.63895319604478,16.672445432295884,23.398723062571563,28.59571441551903,18.273269352737888,57.84342180691928,15.866866280105471,14.874089936697418,18.401510590713198
7894736.842105264,133.68303692179873,118.32189050758484,55.64368769957835,149.25520935217102,74.48680005152391,81.09358113718292,58.114765623022,19.12021628855483,164.5209833823578,164.19702593297015,176.38345729082909,149.32069243251289,33.58647074497247,90.1536030195592,163.72129304810244,25.84330997605217,21.92736190737553,161.77763655616636,49.80374497953301,63.13475889493808,34.32313329321424,70.53371262158221,80.46519935366356,203.74485349234124,57.86223479689534,56.28973806313038,87.20802334161512,63.89392669676418,162.73586409293384,57.50735143871358,49.86392211488909,81.83687020398659
10526315.789473685,242.45697494986317,212.53602480326992,206.73272534172952,271.7017315913436,192.50315493923145,205.01654479444196,144.93151384005918,42.41944626153259,174.72071530003296,171.1290261928725,273.86803993624005,214.3881142240152,115.85250243866544,224.23045150031675,184.44570170181944,57.43818283912797,66.36768490810805,160.72844390591757,202.7613598600319,241.54602032520103,103.30884217208774,165.10706401729848,155.53128117306412,248.26667826063417,205.47231349489363,166.4317173015048,121.7470174870993,230.49215352023407,168.6329120554422,178.55615938634423,200.313532801216,226.40660209966168
13157894.736842103,276.51439324648754,248.3786561520889,238.19422087552147,337.2254950471862,242.95793520545692,233.36080428685509,255.5659597581691,118.67245994347284,215.3293770182248,194.72796761213576,353.1150634746142,247.80832218471656,254.620757312986,288.782715524828,212.48355547939312,170.82455524732038,183.76715175365808,187.19131298870923,253.27071867767629,290.36968184128364,240.99032118672972,169.80760409074148,163.98057794645223,292.8838365606324,267.008228947829,274.07801693471515,180.23367052345725,328.2807555745183,181.7059188932593,238.5223135748398,301.69698891927,303.24440098378466
15789473.684210528,355.9784100542769,257.40708026760507,193.90090236414505,431.13251802399554,312.3207127886136,281.8229056051895,259.88468607360306,210.48754973342216,289.83177422800225,244.60119113879196,441.7694850284968,264.9463823871105,287.3166599590693,357.0624199389091,260.31892620675126,194.2836554509451,273.75252535732835,217.5147119938832,322.6123862096477,347.8778345977831,299.51809561417707,173.09297701460503,169.7154431234106,369.8130291370144,322.91119023736496,366.47487203764456,236.1983046103217,398.7154339069805,196.23893531389183,380.1878859557604,352.2459275162782,336.54177960877274
18421052.63157895,400.0074959533532,325.4346761043878,273.9900136313858,489.7178352732738,407.5435590454251,414.2824230251055,299.24190936367603,236.53115858228415,379.3018696094319,299.12123575121416,509.06479686845375,348.40534388961225,313.64772175702365,420.811996653222,327.2037991934206,252.0410541958096,344.181183433186,291.51136422190314,382.52489960532114,393.22889405059686,343.45079395703334,197.14244825126724,182.7586790201902,422.0295369496306,364.7989925104,435.5928541135425,211.75419955021616,471.1409994685749,230.43310398441275,439.11221284598855,389.20307326391134,379.15030768901687
21052631.57894737,436.3323908393733,375.98518028351737,388.4703459422674,534.6375589370728,470.99661084555527,451.6541324104298,370.3462015235193,274.31199049058057,450.9110436908426,333.7512674886434,560.4807425232145,398.00947277763873,344.9493140850701,487.7360040203686,362.24888355646107,317.3078991389341,404.3137622011666,387.1014685677029,435.1313306697518,439.8254812292115,390.3272953588216,273.99199597657224,210.5192753350636,480.17570520966336,407.71507125614096,480.7215638233354,234.18045366867105,529.1921086839692,284.4673755472717,496.24684029206674,417.1752641167997,415.5528822057465
23684210.52631579,471.0807315280398,411.22406253813045,452.21021149701687,571.981836989976,531.0071159857132,515.0308591738302,402.4582035856069,326.897728408225,500.40066512387216,363.9010757188883,595.5123330716281,437.46062534709057,375.7598153749827,539.313426026512,398.3470840319537,348.8011193928461,466.52320482699497,456.718543083714,479.2199430631634,481.7451144417237,443.5613032008968,360.23855477084413,254.65580233469237,505.33631228608107,449.2377492338832,528.7236069270779,365.9440806053187,586.8033404342025,328.789479021468,554.6266715477047,453.591236123583,459.29382518652073
