steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9
0.0,0.4127430617809295,0.4112268984317779,0.4072114825248718,0.4452080726623535,0.4394208788871765,0.4022831916809082,0.4044244885444641,0.4484109878540039,0.4241605997085571,0.4457438290119171
13157894.736842103,9.294394847090976,9.089761043629624,9.228603576392455,9.28097515532986,9.315422820803644,9.279127174992004,9.224300863919405,9.350877659657456,9.227360098595396,9.16535120966055
26315789.47368421,18.35659228446272,17.944711878431992,18.2293163671504,18.29635514874489,18.37185556512499,18.336419077671845,18.223467124755672,18.43431310721012,18.20951047646001,18.06221021402911
39473684.21052632,27.418789721834468,26.79966271323436,27.230029157908337,27.31173514215993,27.428288309446337,27.393710980351685,27.222633385591944,27.517748554762772,27.191660854324628,26.95906921839768
52631578.94736842,36.480987159206215,35.65461354803673,36.23074194866628,36.32711513557496,36.484721053767686,36.45100288303153,36.22179964642822,36.60118400231544,36.17381123218925,35.85592822276624
65789473.68421053,36.74531260908434,35.967187668547325,36.56995653387257,36.64136325571686,36.93229075370454,36.89787311319164,36.66379775731824,37.03562155602843,36.60917467966872,36.25386110476218
78947368.42105263,36.96976441312778,36.2410460968796,36.86991554542004,36.91617617480457,37.340843432643695,37.305719258351935,37.06701313840225,37.43086018989647,37.00580244702336,36.613275221008806
92105263.15789472,37.1942162171712,36.51490452521187,37.1698745569675,37.19098909389228,37.74939611158285,37.71356540351224,37.47022851948626,37.82609882376451,37.402430214378,36.97268933725543
105263157.89473684,37.41720795146729,36.78699718782384,37.46835176321629,37.4646495383272,38.15523373529315,38.11831764998404,37.86074319080303,38.21860856594616,37.795766083962825,37.32995877127898
118421052.63157897,37.50770171693085,36.89885067569925,37.63235854937989,37.63372556074964,38.31468634640798,38.2423057119068,37.09869768480721,38.36347766885877,37.89036980811556,37.49260323011561
131578947.36842103,37.598195482394416,37.010704163574665,37.79636533554349,37.80280158317207,38.47413895752281,38.36629377382955,36.3366521788114,38.508346771771386,37.984973532268285,37.65524768895224
144736842.10526314,37.68868924785797,37.12255765145007,37.960372121707096,37.9718776055945,38.63359156863764,38.49028183575229,35.574606672815584,38.653215874684,38.07957725642102,37.81789214778888
157894736.84210527,37.77897482752212,37.234185270957255,38.12386598743106,38.139078671191086,38.790474388652335,38.6000932129943,34.85915889178648,38.79644843318353,38.16633692252205,37.97880222874056
171052631.57894737,37.86155598908026,37.337454086210776,38.26837799400288,38.23689243295965,38.85225588506235,38.18526214852439,35.86817241855309,38.879116714760464,37.96280828343361,38.075527468955535
184210526.31578943,37.94413715063839,37.44072290146429,38.41289000057469,38.33470619472822,38.91403738147236,37.77043108405447,36.877185945319695,38.96178499633741,37.75927964434518,38.17225270917051
197368421.0526316,38.02671831219653,37.54399171671781,38.55740200714649,38.43251995649679,38.975818877882375,37.35560001958456,37.88619947208631,39.04445327791434,37.555751005256745,38.26897794938548
210526315.78947368,38.11045779114014,37.64564408033621,38.69871342851352,38.52954685610774,39.0367138681116,36.97946807698767,38.85689906455543,39.1252032438935,37.37359658529979,38.36458210386602
223684210.52631575,38.22080179684099,37.71016937384618,38.76651299916724,38.60850090661087,39.07724736009953,37.49218735622803,38.94759452087261,39.16189285189985,37.68237063791027,38.43443687756971
236842105.2631579,38.33114580254183,37.774694667356144,38.83431256982096,38.687454957114,39.117780852087456,38.0049066354684,39.0382899771898,39.198582459906206,37.99114469052074,38.504291651273405
250000000.0,38.44148980824267,37.83921996086611,38.902112140474685,38.76640900761713,39.15831434407538,38.51762591470875,39.12898543350698,39.23527206791256,38.29991874313122,38.5741464249771
