steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16
0.0,0.552290678024292,0.5436002016067505,0.5195131897926331,0.5311706066131592,0.5428211688995361,0.5314458012580872,0.4910126626491546,0.5134491920471191,0.4378796517848968,0.4795385301113128,0.5403095483779907,0.5616753101348877,0.4998940229415893,0.554067850112915,0.496212750673294,0.4806222915649414,0.5830641388893127
13157894.736842103,10.001071226367218,9.850100574943063,9.871029182584357,9.87515971548172,9.87097934243977,9.933482049290316,9.89807842752339,9.912433844533638,9.846924738059082,9.8410633654368,9.913766836706582,9.936199521427747,9.888364586066407,10.01491679346002,9.865989796916942,9.743627587332218,9.90441365968812
26315789.47368421,19.64192598416182,19.34578289539146,19.41264219713463,19.40909284009163,19.38875972147584,19.52664229161337,19.496370426386623,19.502480458671005,19.44723629384168,19.39288868163468,19.47776716805256,19.50128846408009,19.467683381102887,19.66808527182414,19.426235074451167,19.19493066504377,19.415246980123293
39473684.21052632,29.282780741956422,28.84146521583985,28.95425521168491,28.94302596470154,28.906540100511908,29.119802533936436,29.094662425249865,29.092527072808373,29.047547849624276,28.94471399783256,29.041767499398546,29.066377406732432,29.047002176139365,29.32125375018826,28.9864803519854,28.646233742755324,28.926080300558464
52631578.94736842,38.92363549975102,38.33714753628825,38.49586822623519,38.47695908931145,38.42432047954797,38.71296277625949,38.6929544241131,38.68257368694574,38.64785940540686,38.49653931403044,38.60576783074452,38.63146634938477,38.62632097117584,38.97442222855238,38.54672562951962,38.09753682046688,38.43691362099364
65789473.68421053,39.16594696619891,38.60107092944709,38.53891754150391,38.70402169723064,38.66447650592333,38.94087967654788,38.73625946044922,38.7258415222168,38.89405839995775,38.53963470458984,38.86477868516194,38.8890010857886,38.66954040527344,39.017974853515625,38.79288585875673,38.336500869590886,38.47982406616211
78947368.42105263,39.365662429079805,38.82315421781453,38.53891754150391,38.88890378020704,38.8625845565892,39.12635149503617,38.73625946044922,38.7258415222168,39.09786275954525,38.53963470458984,39.08161753987011,39.10435219863724,38.66954040527344,39.017974853515625,38.99683286540798,38.5337128286348,38.47982406616211
92105263.15789472,39.5653778919607,39.045237506181984,38.53891754150391,39.07378586318344,39.06069260725506,39.31182331352446,38.73625946044922,38.7258415222168,39.301667119132745,38.53963470458984,39.29845639457828,39.319703311485874,38.66954040527344,39.017974853515625,39.20077987205924,38.73092478767871,38.47982406616211
105263157.89473684,39.76341491741177,39.26556367922378,38.53891754150391,39.25736444959907,39.25758895571687,39.49469801014976,38.73625946044922,38.7258415222168,39.5037999908234,38.53963470458984,39.51381765962039,39.532622807790574,38.66954040527344,39.017974853515625,39.40315460426635,38.92693555229589,38.47982406616211
118421052.63157897,39.809137609477006,39.32643568093202,38.53891754150391,39.322653723469394,39.34452611821508,39.44188987567629,38.73625946044922,38.7258415222168,39.55424918324932,38.53963470458984,39.59509106353367,39.52487869974569,38.66954040527344,39.017974853515625,39.46284904967651,39.013940687556016,38.47982406616211
131578947.36842103,39.854860301542246,39.38730768264026,38.53891754150391,39.38794299733972,39.43146328071328,39.389081741202816,38.73625946044922,38.7258415222168,39.60469837567524,38.53963470458984,39.67636446744694,39.5171345917008,38.66954040527344,39.017974853515625,39.52254349508666,39.10094582281614,38.47982406616211
144736842.10526314,39.90058299360748,39.4481796843485,38.53891754150391,39.45323227121005,39.51840044321149,39.33627360672935,38.73625946044922,38.7258415222168,39.65514756810117,38.53963470458984,39.75763787136021,39.50939048365592,38.66954040527344,39.017974853515625,39.58223794049682,39.18795095807628,38.47982406616211
157894736.84210527,39.94112832020576,39.50799083268368,38.53891754150391,39.51730061660079,39.60371854235467,39.29068814670373,38.73625946044922,38.7258415222168,39.704928500483696,38.53963470458984,39.83813089968343,39.50504351949613,38.66954040527344,39.017974853515625,39.64097430301928,39.273687104541615,38.47982406616211
171052631.57894737,39.790072738595406,39.52854254085521,38.53891754150391,39.53618555606098,39.62911929333092,39.512395191473495,38.73625946044922,38.7258415222168,39.72997885665905,38.53963470458984,39.88974424532762,39.62641606612915,38.66954040527344,39.017974853515625,39.66425449529613,39.3124612570853,38.47982406616211
184210526.31578943,39.63901715698505,39.54909424902675,38.53891754150391,39.55507049552116,39.654520044307176,39.73410223624326,38.73625946044922,38.7258415222168,39.75502921283441,38.53963470458984,39.94135759097181,39.74778861276217,38.66954040527344,39.017974853515625,39.68753468757299,39.35123540962899,38.47982406616211
197368421.0526316,39.48796157537469,39.56964595719829,38.53891754150391,39.57395543498134,39.67992079528343,39.95580928101303,38.73625946044922,38.7258415222168,39.78007956900977,38.53963470458984,39.992970936616,39.86916115939519,38.66954040527344,39.017974853515625,39.71081487984985,39.39000956217268,38.47982406616211
210526315.78947368,39.34645152033652,39.59145369406132,38.53891754150391,39.59383700655995,39.70479882184364,40.16881851275362,38.73625946044922,38.7258415222168,39.806222749573,38.53963470458984,40.04396031148627,39.98172340982492,38.66954040527344,39.017974853515625,39.72566090989636,39.430327580368285,38.47982406616211
223684210.52631575,39.42418553457216,39.64211021567882,38.53891754150391,39.63660947677695,39.71767078176992,40.18205417434324,38.73625946044922,38.7258415222168,39.85746619715514,38.53963470458984,40.08061816776012,39.89192854810267,38.66954040527344,39.017974853515625,39.54678896804141,39.50610549544634,38.47982406616211
236842105.2631579,39.50191954880779,39.69276673729632,38.53891754150391,39.67938194699394,39.730542741696205,40.19528983593287,38.73625946044922,38.7258415222168,39.908709644737286,38.53963470458984,40.11727602403395,39.802133686380415,38.66954040527344,39.017974853515625,39.36791702618645,39.5818834105244,38.47982406616211
250000000.0,39.57965356304343,39.74342325891382,38.53891754150391,39.72215441721094,39.74341470162248,40.20852549752249,38.73625946044922,38.7258415222168,39.95995309231943,38.53963470458984,40.15393388030779,39.71233882465816,38.66954040527344,39.017974853515625,39.189045084331504,39.65766132560245,38.47982406616211
