steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9
0.0,0.755294680595398,0.786212146282196,0.7094370722770691,0.7143704891204834,0.689446210861206,0.6166539192199707,0.7033223509788513,0.7319386005401611,0.7971060276031494,0.688604474067688
13157894.736842103,11.751815162315356,11.689911576276408,11.683300021143308,12.112429115897394,11.781663557205771,12.038393855165188,11.937614020441428,11.790734900968658,11.385822878437404,11.57220224209686
26315789.47368421,22.971872212319347,22.815260714124413,22.880238957408167,23.742186752808045,23.09936279160614,23.692314193389304,23.400275655755312,23.07433370855925,22.189786491308936,22.677041092675125
39473684.21052632,34.19192926232334,33.94060985197242,34.07717789367303,35.3719443897187,34.417062026006505,35.34623453161342,34.862937291069194,34.357932516149845,32.99375010418047,33.781879943253394
52631578.94736842,45.41198631232733,45.06595898982042,45.274116829937896,47.00170202662935,45.73476126040687,47.00015486983754,46.32559892638308,45.64153132374043,43.797713717052,44.886718793831655
65789473.68421053,46.10914635472441,45.72160031220091,46.01346101408187,47.423202383163336,46.2712412637031,47.424104917051366,46.80207174618973,46.171810413836745,44.16625598288778,45.43871273495453
78947368.42105263,46.75861460653477,46.3297909076306,46.705409370004936,47.79390476470323,46.758858710474485,47.797158581736056,47.228753047942334,46.653353393363126,44.4875029146338,45.9428791558468
92105263.15789472,47.408082858345125,46.937981503060286,47.397357725928,48.16460714624312,47.246476157245866,48.170212246420746,47.65543434969493,47.13489637288952,44.80874984637981,46.44704557673908
105263157.89473684,48.05382557613677,47.54315269336889,48.08680890387218,48.53419953293314,47.73301265946736,48.543284130151335,48.07952551042171,47.61468569098727,45.12912044827876,46.94823897490376
118421052.63157897,48.3614846570383,47.87431981890413,48.54964692815305,48.80306244194556,48.121455931868894,48.9180093503616,48.268567334955165,47.9353342709558,45.36996613366235,47.17963740374305
131578947.36842103,48.66914373793983,48.20548694443938,49.01248495243392,49.07192535095799,48.509899204270425,49.29273457057186,48.45760915948863,48.25598285092433,45.61081181904595,47.411035832582336
144736842.10526314,48.97680281884135,48.536654069974624,49.47532297671479,49.34078825997042,48.89834247667196,49.66745979078212,48.64665098402208,48.57663143089286,45.851657504429554,47.64243426142163
157894736.84210527,49.28207024415072,48.863222997143474,49.93042318948986,49.60561730148761,49.284624571408095,50.03568724629911,48.83851317828031,48.893651910461486,46.09830690108632,47.87462714641502
171052631.57894737,49.49882868038,49.01962449287456,50.09916700700543,49.72116333785222,49.59092706915971,50.16344923255279,49.134749963090414,49.07640577583574,46.559736644623705,48.13622079935317
184210526.31578943,49.71558711660928,49.17602598860566,50.267910824521,49.83670937421682,49.897229566911335,50.29121121880648,49.43098674790051,49.25915964120999,47.021166388161085,48.39781445229132
197368421.0526316,49.93234555283856,49.33242748433675,50.43665464203658,49.95225541058144,50.20353206466295,50.41897320506016,49.72722353271062,49.44191350658424,47.48259613169847,48.65940810522947
210526315.78947368,50.14454832688049,49.49165962426412,50.60610692693707,50.07571458624992,50.50162854209775,50.55007527578258,50.01406353269106,49.62439782586056,47.92794957460628,48.915744551572494
223684210.52631575,50.25211549924696,49.71590671622848,50.79183146997269,50.38092474742918,50.61124706881934,50.75789325160542,50.08507580137093,49.80069114216592,48.00405847744145,49.05133214679539
236842105.2631579,50.35968267161343,49.940153808192825,50.97755601300832,50.68613490860843,50.720865595540936,50.96571122742825,50.15608807005081,49.976984458471286,48.08016738027661,49.18691974201828
250000000.0,50.4672498439799,50.164400900157176,51.16328055604394,50.99134506978768,50.830484122262526,51.17352920325108,50.22710033873068,50.15327777477665,48.15627628311178,49.32250733724117
