steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11
0.0,1.0,1.0,1.0,1.0,0.9990234375,1.0,1.0,1.0,0.99609375,1.0,1.0,1.0
2631578.947368421,1.0,0.9998338783877048,1.0,1.0,0.999078811370765,1.0,1.0,1.0,0.9963152454830604,0.999944626129235,1.0,0.999944626129235
5263157.894736842,1.0,0.9972918079830604,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9991341852415302,1.0,0.9991341852415302
7894736.842105264,1.0,0.9991895591122952,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10526315.789473685,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13157894.736842105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15789473.684210528,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18421052.63157895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21052631.57894737,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23684210.52631579,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26315789.47368421,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28947368.42105263,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31578947.368421055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993355135508192,1.0,1.0
34210526.315789476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999743297819946,1.0,1.0
36842105.2631579,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39473684.21052632,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42105263.15789474,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44736842.10526316,0.9990586441969938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
47368421.05263158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50000000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
