steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2631578.947368421,0.0079184635194054,0.0,0.0032670583751393,0.0,0.0,0.0,0.0096904273838878,0.0,0.0,0.0,0.0,0.0,0.0
5263157.894736842,0.1870484708749026,0.0,0.1003658157306364,0.0033224322459043,0.001550468381422,0.0327813314929233,0.2243895966590607,0.0047621528857962,0.0,0.0057588825595676,0.0001107477415301,0.0102995399623036,0.0
7894736.842105264,0.6057924550656137,0.0028240674090187,0.4722799184910148,0.0570391842533016,0.022808563676237,0.3634849823082584,0.6797893661541292,0.0785389422049483,0.0074754725532848,0.0828427211729774,0.0096148863393514,0.1283637968787196,0.0139542154327984
10526315.789473685,0.8580969601787029,0.0447314888486571,0.6905817998743453,0.2357959271798173,0.0975061981961998,0.7620017772896468,0.8743963585005573,0.3108808353667114,0.0736257072300792,0.2955176651973143,0.0876400807557674,0.3544935612136968,0.1431640033246408
13157894.736842105,0.9169921875,0.1793867095355512,0.83032047451368,0.4308568526503121,0.3040213201845121,0.8983171838142204,0.9244826995765072,0.5405237615273599,0.2218724776503121,0.5595675888484204,0.2891455726940546,0.5693632928948653,0.4163499287951355
15789473.684210528,0.9312786461573888,0.3198708827475762,0.8827116641311434,0.5860191989803579,0.6192329227098798,0.9361710271016382,0.9378120760508192,0.7110902992311938,0.398298390354146,0.791359497239385,0.5836148882836848,0.7667734986196926,0.6445333105705453
18421052.63157895,0.958209140809289,0.4814176374525245,0.8877763246235095,0.7403629096921462,0.7647051850844618,0.9242909397114676,0.9392367571674886,0.8538338589866405,0.6012432595039009,0.8944710919071103,0.798386164319152,0.8377101507213307,0.8144948330612395
21052631.57894737,0.960132186762844,0.674213018443776,0.9274328976787029,0.881010800517497,0.8415958901191353,0.9309768254076676,0.9442453569322412,0.9142238373901704,0.7889633812732644,0.9133378554579292,0.8661712900093057,0.9080431613235262,0.8978741928480999
23684210.52631579,0.9703459303795136,0.8255094491213643,0.9427601742942576,0.9164189684754264,0.9033117743410232,0.9595432413581996,0.9577716209221414,0.9367856107590272,0.8815450589082248,0.9368259451065698,0.9055961122803412,0.93873292125163,0.9344551239647694
26315789.47368421,0.9771162387076509,0.9083145595983784,0.9507897289836176,0.9482828652759668,0.947003795169397,0.9623368862923491,0.9736027334535552,0.9447888403387942,0.9279059676912684,0.9517256137076509,0.9319732116530146,0.946007752352474,0.9449498343005404
28947368.42105263,0.9793664002352476,0.9418598396956426,0.9603283874215842,0.9598351502352476,0.9410487119510894,0.9686143008625738,0.9741260496863368,0.954197614146732,0.9305580989805944,0.9564122255489106,0.9349476742942576,0.953869811715842,0.9601629526661374
31578947.368421055,0.9844556686950852,0.9435101136606484,0.9692637477885324,0.9642599322459044,0.9511018050344366,0.978636628042628,0.9859459789836176,0.967229954093447,0.9390709789836176,0.9556619427540956,0.9582200829672352,0.9654785008311602,0.9493992242786692
34210526.315789476,0.9762500805207568,0.9660879568380002,0.9693136505803244,0.9593415696204864,0.9656695738393514,0.982165172819946,0.9763505729611892,0.9618080989805944,0.9654685889584866,0.9584207244196756,0.9735825662797838,0.973376110319946,0.9571929308185948
36842105.2631579,0.9858352312420874,0.9670583614021788,0.9763010135978212,0.9678845286699544,0.965649063237156,0.9886237485256882,0.9831068720513764,0.9690624194792432,0.9672296106650228,0.9661628110256882,0.9653065647114676,0.9596785970672016,0.960766250737156
39473684.21052632,0.9942414608688566,0.9789640870450936,0.9660565040778584,0.9640582605081912,0.9689967903073804,0.972791605709002,0.9771914363237628,0.9700184713770478,0.9608366641311434,0.9719264778073804,0.9753497459221416,0.9626995519918088,0.9641139778073804
42105263.15789474,0.9862573681775882,0.9646116557874178,0.9718410248901704,0.9646625888644824,0.9697265625,0.9794723637546529,0.9817878110256882,0.9785863818224118,0.9581889736355176,0.9629104487453471,0.9784250444322412,0.9656391513644824,0.9692736596612058
44736842.10526316,0.9853515625,0.9600665575909813,0.9717148941969938,0.9714332406210436,0.9697265625,0.9851755290150312,0.97489102857595,0.9738440526819624,0.9589491683030062,0.9797998227571186,0.9803983366060124,0.9789992937420874,0.9631370718789564
47368421.05263158,0.987365189021314,0.9488270355393682,0.978394621957372,0.9698677327163991,0.9765826671737712,0.990113371957372,0.9890158064147442,0.9769456763016552,0.960021439021314,0.9921875,0.9795930233688566,0.9841128267409728,0.9832572672836009
50000000.0,0.990234375,0.9765625,0.97265625,0.9765625,0.9775390625,0.984375,0.9775390625,0.9951171875,0.962890625,0.9921875,0.984375,0.9716796875,0.9765625
