steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13
0.0,0.056640625,0.001953125,0.01171875,0.0634765625,0.001953125,0.0556640625,0.005859375,0.056640625,0.01171875,0.0068359375,0.0185546875,0.001953125,0.0029296875,0.0068359375
2631578.947368421,0.0620118904642121,0.0142461243098462,0.0164255290150312,0.0697338098964532,0.0074351382057422,0.0600385982904407,0.0112306404642121,0.0596308140213139,0.0234026367314304,0.01065673458279,0.023870579093447,0.0134708901191352,0.0074149710319709,0.015197391985526
5263157.894736842,0.1545788720043742,0.210443919385239,0.0989349766781455,0.1796977553010977,0.1099290821360749,0.135138202572133,0.1070093065087484,0.1175703328732308,0.2174411942754095,0.0865117493098462,0.1161808584535551,0.2037491521016382,0.1015228525093057,0.1612739827163992
7894736.842105264,0.1953029315557506,0.1524849202163992,0.1411387477885323,0.2355532342377131,0.2145221055049315,0.1636198524623036,0.164037548604104,0.1902789488393514,0.2199935199811518,0.1877669574811518,0.1551226988393514,0.2053201310852558,0.25390625,0.224957001176237
10526315.789473685,0.2759142846612059,0.1978197071360749,0.2013636348650396,0.2952544616530146,0.3180883201535719,0.2185185926442661,0.2047964714240499,0.2381807575595676,0.2564134571360749,0.2365906416874513,0.2092263810852558,0.2656653343475426,0.2614370964240499,0.2841499518819793
13157894.736842105,0.3051359620450936,0.2421423814303326,0.2660734620450936,0.3518349285601249,0.3954069766311434,0.2626156740901873,0.2573250773210604,0.2719328370450936,0.3032279556147609,0.3190440286229521,0.2668890305833473,0.3114995163893765,0.3111970087828068,0.3550264458907278
15789473.684210528,0.3604226627508359,0.2764382877508359,0.3120573524623036,0.4256612772426447,0.3871316619196757,0.3329876453262287,0.3158925022114677,0.329545240322969,0.3478080189459211,0.331548268114761,0.3105670421737713,0.4164688712672183,0.3657576912327817,0.4042162063049147
18421052.63157895,0.3910727751882452,0.3129026566185779,0.3673044056773516,0.4738491803325114,0.4082991766467319,0.3295042191185779,0.3110305437420874,0.3867997621235094,0.4113850738863536,0.3716885099120418,0.3024219555207567,0.4395642161699543,0.3608803498117547,0.4317575306773516
21052631.57894737,0.4219669542814556,0.3353543691027528,0.4576666876880086,0.4657396438049147,0.4556428058655968,0.3670176244508527,0.3797836937732644,0.419811470686894,0.451323300517497,0.3904834863551766,0.3345094083749026,0.4844061093317174,0.4154834271798173,0.4937683908562911
23684210.52631579,0.4587020345672015,0.3816804146172267,0.5129171514114845,0.5082821595041376,0.4718150432090019,0.4195243460319709,0.4549226021172267,0.4395942952163992,0.4832429146172267,0.3840915701065697,0.390106467989343,0.538987645812312,0.4767440045639418,0.5228441138016551
26315789.47368421,0.4569410128606653,0.4329002147896468,0.5345122741530146,0.5382062536857796,0.4689215926912682,0.4542837539207902,0.4967288442595843,0.4529339269918088,0.5261566341748858,0.4383066869508527,0.3969779556147609,0.552502624215842,0.4875665173306029,0.5531978765683161
28947368.42105263,0.4889665904798005,0.4508242488237629,0.574033491499206,0.5257580749215842,0.4837559755489106,0.4824119631273264,0.4764001323245569,0.4372979848338627,0.524946947177031,0.4462128345986152,0.4088023257057422,0.5624702643819793,0.5178861036855428,0.5570179867942577
31578947.368421055,0.5022652010508191,0.4785368224590439,0.5701808982278501,0.5612728932557675,0.4856636385508191,0.4707328606180206,0.4767344361196925,0.4507196590180543,0.5469365318065866,0.4273012959065529,0.4187542394918088,0.5506899825753928,0.5172151158721163,0.5676651529327985
34210526.315789476,0.5113113091592973,0.4833427202008107,0.558130591860108,0.5522100284819458,0.5033480704986488,0.4242748699029726,0.548029656555514,0.507521964836649,0.5706751656994595,0.4802339321358383,0.4031586316814052,0.5611717139584866,0.5498211007369193,0.5943748389584866
36842105.2631579,0.516974140072133,0.4957721055049315,0.5956036628448402,0.5918085040147946,0.4663525103201826,0.4520188962983953,0.5515055511136464,0.5180108606650228,0.5763431242628441,0.5131789812420874,0.395709140809289,0.5730107801442661,0.5528246121393346,0.5534979801759164
39473684.21052632,0.5674146086885659,0.5199345934754264,0.6146054386762371,0.5945248907622869,0.5290022424713727,0.488639474905759,0.6025257401188986,0.5548095333279005,0.5979136390369024,0.5290606834221415,0.4951807798771317,0.5875084789836176,0.6062860356803746,0.5850378522582331
42105263.15789474,0.5531363447617296,0.5438150844415469,0.6055791543131059,0.6025192387546529,0.5242725488551766,0.5002519179579293,0.5981289765841412,0.5411458530584531,0.627255976034994,0.5596014218317175,0.4807999629393178,0.6004755331868941,0.5967193349906943,0.5847996001098295
44736842.10526316,0.593142261135281,0.5157750518038002,0.5611898205617127,0.5950434227729438,0.5431707651661374,0.4444952143196253,0.5609081669857627,0.5437692790150312,0.587521801364719,0.604861011135281,0.4718909276819625,0.6316858856961998,0.664386891922462,0.6442311463923996
47368421.05263158,0.5844482199967402,0.5635890273836511,0.6520009080458876,0.6324409527131395,0.5457371001098295,0.5238524724902208,0.6030750380328488,0.5987941498901705,0.6836829568540621,0.5716722388016551,0.5088611930361084,0.5891898622803411,0.6410772159819458,0.6113800883623371
50000000.0,0.6064453125,0.615234375,0.6357421875,0.6611328125,0.5380859375,0.58984375,0.6748046875,0.6064453125,0.6416015625,0.58984375,0.55859375,0.6044921875,0.6162109375,0.66015625
