steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2631578.947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5263157.894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7894736.842105264,0.0,0.0,0.0001661216122952,0.0,0.0,0.0,0.0,0.0187717421893598,0.0,0.0,0.0,0.0
10526315.789473685,0.0004429909661205,0.0,0.0118298411699543,0.0,0.0,0.0,0.0,0.3032741282455149,0.0,0.0,0.0,0.0002214954830602
13157894.736842105,0.0016762556461746,0.0013843467691268,0.3184988756259062,0.0,0.0,0.0002768693538253,0.0,0.9706279273838878,0.0,0.0,0.0,0.0006996931461746
15789473.684210528,0.0009765625,0.2849638508297404,1.0,0.0,0.0,0.0013088057245904,0.0,0.9967784036229522,0.0,0.0,0.0,0.0003322432245904
18421052.63157895,0.0005889454046444,0.8963456087825702,1.0,0.0,0.0,0.0011778908092889,0.0,1.0,0.0,0.0003876170953555,0.0,0.0044651163581996
21052631.57894737,0.0004429909661205,1.0,0.9995570090338796,0.0,0.0,0.0124037470513763,0.0,1.0,0.0,0.0014195534661205,0.0,0.015081516593447
23684210.52631579,0.0004781976631143,1.0,0.9995218023368856,0.0,0.0,0.4664031712962651,0.0,0.9995016351631144,0.0,0.2137581806764048,0.0,0.3239918309895946
26315789.47368421,0.0,1.0,0.9983387838770478,0.0,0.0,0.9508215251721834,0.0,0.9995771762076509,0.0,0.7470204572598359,0.0,0.8324308633143882
28947368.42105263,0.0,1.0,0.9988976502352476,0.0,0.0,0.9996325500784158,0.0006091125784158,1.0,0.0012182251568316,0.9996325500784158,0.0,0.9996325500784158
31578947.368421055,0.0,1.0,0.9993355135508192,0.0,0.0,1.0,0.0009765625,1.0,0.0039465843475426,1.0,0.0,1.0
34210526.315789476,0.0,0.999280139680054,0.999743297819946,0.0,0.0,1.0,0.000256702180054,1.0,0.0027232315401621,0.999280139680054,0.0,0.999280139680054
36842105.2631579,0.0,0.996697734927867,1.0,0.0,0.0,0.998449531618578,0.0,1.0,0.7415265429383177,0.9990234375,0.0,0.999798671690711
39473684.21052632,0.0,0.9985855741844284,1.0,0.0,0.0,0.9997080911229522,0.0,1.0,0.9900750981803746,0.999854045561476,0.0,1.0
42105263.15789474,0.0,0.9999094194322412,1.0,0.0,0.0,1.0,0.0008859819322411,1.0,1.0,1.0,0.0,1.0
44736842.10526316,0.0009413558030062,1.0,1.0,0.0,0.0,1.0,3.52066969937562e-05,1.0,1.0,0.9981172883939876,0.0,1.0
47368421.05263158,0.0,0.9990436046737712,1.0,0.002869185978686,2.016717377131681e-05,1.0,0.0,1.0,1.0,1.0,0.0,1.0
50000000.0,0.0,1.0,1.0,0.0,0.0009765625,1.0,0.0,1.0,1.0,1.0,0.0,1.0
