steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11
0.0,0.0009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2631578.947368421,0.0009211886292349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5263157.894736842,0.0,0.0,0.0,0.0032116845043742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7894736.842105264,0.0,0.0,0.0,0.0235027857434386,0.1699424093780097,0.0,0.0001661216122952,0.0,0.0001661216122952,0.0,0.0001661216122952,0.0001661216122952
10526315.789473685,0.2146291230854236,0.0,0.2261468882045588,0.1721019903378474,0.9992449329830604,0.0002214954830602,0.1996580108050825,0.0,0.0007550670169397,0.2265898791706794,0.0023055353983617,0.0016410489491808
13157894.736842105,0.9615168769603952,0.0,0.9976240512076509,0.82689892354104,1.0,0.0012534318538253,0.9115617942281709,0.0027686935382536,0.2832373489633491,0.9990234375,0.0051747213770478,0.0027987725846985
15789473.684210528,1.0,0.0,0.9993556807245904,0.9993556807245904,1.0,0.3411734573068386,0.9993556807245904,0.3463280115101151,0.9993556807245904,0.9993556807245904,0.3388679219084769,0.002325702572133
18421052.63157895,1.0,0.001550468381422,1.0,1.0,0.9996123829046444,0.9990234375,1.0,0.9994110545953556,1.0,1.0,0.996466327572133,0.4006549063812006
21052631.57894737,1.0,0.162054024905049,1.0,1.0,0.9990234375,0.9990234375,1.0,1.0,1.0,1.0,1.0,0.9990234375
23684210.52631579,0.9995016351631144,0.6829549493551915,1.0,1.0,0.9990234375,0.9985250726631144,1.0,1.0,1.0,0.9990032703262288,1.0,0.9995218023368856
26315789.47368421,0.9990234375,1.0,1.0,1.0,0.9995771762076509,0.9991543524153016,1.0,1.0,1.0,0.9986006137076509,1.0,1.0
28947368.42105263,0.9996325500784158,1.0,1.0,0.9993908874215842,0.9987817748431684,1.0,1.0,1.0,1.0,0.9996325500784158,0.9993908874215842,1.0
31578947.368421055,1.0,0.9986710271016382,1.0,0.9983589510508192,0.9987113614491808,0.9993355135508192,1.0,1.0,0.9993355135508192,1.0,0.9996879239491808,1.0
34210526.315789476,1.0,0.999486595639892,1.0,0.999486595639892,0.999743297819946,0.999743297819946,1.0,0.998560279360108,0.999743297819946,1.0,1.0,1.0
36842105.2631579,1.0,0.999224765809289,0.999224765809289,1.0,1.0,0.999224765809289,0.999224765809289,0.999597343381422,1.0,0.999224765809289,1.0,1.0
39473684.21052632,0.999169391938524,0.999854045561476,0.999854045561476,1.0,1.0,0.9990234375,0.999854045561476,1.0,1.0,0.999854045561476,0.999169391938524,1.0
42105263.15789474,0.9999094194322412,1.0,1.0,1.0,0.9991140180677588,0.9990234375,0.9991140180677588,1.0,1.0,0.9991140180677588,0.9999094194322412,1.0
44736842.10526316,0.9990586441969938,0.9990586441969938,1.0,1.0,0.9999647933030062,0.9999647933030062,0.9990234375,1.0,1.0,0.9990234375,1.0,1.0
47368421.05263158,0.9999798328262288,0.9990032703262288,0.9990436046737712,0.9990234375,1.0,1.0,1.0,1.0,1.0,0.9999596656524574,0.9990436046737712,0.9990234375
50000000.0,0.9990234375,0.998046875,1.0,0.9990234375,1.0,1.0,1.0,1.0,1.0,0.998046875,1.0,0.9990234375
